순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
1017,0073X0,FOCUS 알리바바미국채커버드콜혼합,K Market,1X,8870.0,825,7000000.0,,,,-11.0485,,,
1018,315270,TIGER 200커뮤니케이션서비스,K Market,1X,18690.0,395,7000000.0,,,,-12.5752,,,
1019,459750,RISE 글로벌주식분산액티브,K Market,1X,17735.0,424,7000000.0,,,,-8.1295,,,
1020,373790,KIWOOM 미국방어배당성장나스닥,K Market,1X,15385.0,484,7000000.0,,,,-6.3047,,,
1021,0131A0,SOL 차이나소비트렌드,K Market,1X,7430.0,1041,7000000.0,,,,-15.6641,,,
1022,0008E0,ACE 미국중심중소형제조업,K Market,1X,11570.0,529,6000000.0,,,,-25.379,,,
1023,108590,TREX 200,K Market,1X,108880.0,62,6000000.0,,,,-25.4532,,,
1024,269530,PLUS S&P글로벌인프라,K Market,1X,19395.0,323,6000000.0,,,,-13.9861,,,
1025,403790,MIDAS 코스피액티브,K Market,1X,57715.0,108,6000000.0,,,,-23.5816,,,
1026,322400,HANARO e커머스,K Market,1X,9600.0,639,6000000.0,,,,-16.3764,,,
1027,437370,RISE 글로벌농업경제,K Market,1X,10920.0,632,6000000.0,,,,0.6778,,,
1028,276650,RISE 글로벌테크놀로지(합성 H),K Market,1X,46750.0,135,6000000.0,,,,-0.7221,,,
1029,419890,KIWOOM 단기채권ESG액티브,K Market,1X,107490.0,60,6000000.0,,,,0.5848,,,
1030,433220,에셋플러스 글로벌대장장이액티브,K Market,1X,29075.0,221,6000000.0,,,,-20.0358,,,
1031,169950,KODEX 차이나A50,K Market,1X,25220.0,239,6000000.0,,,,-14.7973,,,
1032,404260,KODEX 기후변화솔루션,K Market,1X,23895.0,279,6000000.0,,,,-20.0464,,,
1033,0135Y0,IBK 중기종합채권(AA-이상)액티브,K Market,1X,100200.0,69,6000000.0,,,,0.2752,,,
1034,472720,TRUSTON 주주가치액티브,K Market,1X,25820.0,264,6000000.0,,,,-16.3048,,,
1035,275750,RISE 코스닥150선물인버스,K Market,-1X,2445.0,2148,5000000.0,-3.55,-1.01,-2.59,10.63,16.71,-27.66,-33.65
1036,451000,PLUS 종합채권(AA-이상)액티브,K Market,1X,107215.0,51,5000000.0,,,,-0.8692,,,
1037,429740,PLUS K리츠,K Market,1X,6130.0,940,5000000.0,,,,-3.6948,,,
1038,270800,RISE KQ고배당,K Market,1X,15580.0,353,5000000.0,,,,-7.6831,,,
1039,272910,ACE 중장기국공채액티브,K Market,1X,105735.0,55,5000000.0,,,,-0.0993,,,
1040,385710,TIME K이노베이션액티브,K Market,1X,10240.0,566,5000000.0,,,,-28.0899,,,
1041,291890,KODEX MSCI EM선물(H),K Market,1X,12320.0,408,5000000.0,,,,-4.0125,,,
1042,117690,TIGER 차이나항셍30,K Market,1X,19155.0,295,5000000.0,,,,-5.3841,,,
1043,429010,TIGER 미국나스닥넥스트100,K Market,1X,19400.0,213,4000000.0,,,,-9.6414,,,
1044,474920,에셋플러스 차이나일등기업포커스10액티브,K Market,1X,17860.0,254,4000000.0,,,,-12.7717,,,
1045,488290,MIDAS 일본테크액티브,K Market,1X,42980.0,96,4000000.0,,,,-27.1588,,,
1046,451600,PLUS 국고채30년액티브,K Market,1X,84255.0,50,4000000.0,,,,-6.0127,,,
