순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
527,0090B0,PLUS K방산소부장,K Market,1X,7005.0,48898,339000000.0,,,,-15.3137,,,
528,130680,TIGER 원유선물Enhanced(H),K Market,1X,7965.0,44369,338000000.0,,,,27.731,,,
529,290080,RISE 200고배당커버드콜ATM,K Market,1X,7320.0,45978,338000000.0,,,,31.8535,,,
530,273140,KODEX 단기변동금리부채권액티브,K Market,1X,114565.0,2941,337000000.0,,,,0.6739,,,
531,453650,KODEX 미국S&P500금융,K Market,1X,18595.0,18295,332000000.0,,,,-7.8535,,,
532,445910,TIGER MKF배당귀족,K Market,1X,20390.0,16077,332000000.0,,,,1.8014,,,
533,138530,TIGER LG그룹플러스,K Market,1X,12220.0,27261,330000000.0,,,,-0.5786,,,
534,091220,TIGER 은행,K Market,1X,17375.0,19092,328000000.0,,,,13.4752,,,
535,486450,SOL 미국AI전력인프라,K Market,1X,18840.0,17131,326000000.0,,,,-24.8328,,,
536,0194T0,ACE SK하이닉스단일종목레버리지,K Market,2X,10105.0,32377,324000000.0,11.84,-0.74,18.6,-64.24,,,
537,157490,TIGER 소프트웨어,K Market,1X,8005.0,40806,322000000.0,,,,-4.1464,,,
538,0155M0,ACE 미국SMR원자력TOP10,K Market,1X,6425.0,49147,319000000.0,,,,-23.5778,,,
539,225040,TIGER 미국S&P500레버리지(합성 H),K Market,2X,69045.0,4599,317000000.0,4.42,2.19,2.35,9.46,40.55,33.06,140.78
540,0020H0,KoAct 글로벌양자컴퓨팅액티브,K Market,1X,22285.0,13886,316000000.0,,,,-25.1346,,,
541,261270,KODEX 미국달러선물인버스,K Market,-1X,8240.0,38100,315000000.0,0.86,-1.55,2.17,13.73,11.58,1.67,-3.51
542,0066W0,SOL 국제금,K Market,1X,12420.0,25297,314000000.0,,,,-7.3398,,,
543,451540,TIGER 종합채권(AA-이상)액티브,K Market,1X,52715.0,5953,314000000.0,,,,-0.2078,,,
544,0164G0,RISE 차이나AI반도체TOP4Plus,K Market,1X,12490.0,24848,311000000.0,,,,-28.425,,,
545,465670,TIGER 미국캐시카우100,K Market,1X,15990.0,19433,307000000.0,,,,-3.0273,,,
546,0102A0,TIGER 미국AI소프트웨어TOP4Plus,K Market,1X,8875.0,34847,306000000.0,,,,12.1673,,,
547,192090,TIGER 차이나CSI300,K Market,1X,12190.0,25303,306000000.0,,,,-18.5536,,,
548,256440,ACE MSCI인도네시아(합성),K Market,1X,4970.0,62821,306000000.0,,,,-12.1538,,,
549,269540,PLUS 미국S&P500(H),K Market,1X,30400.0,10111,306000000.0,,,,2.8305,,,
550,433970,KODEX TDF2030액티브 적격,K Market,1X,13945.0,21983,305000000.0,,,,-4.3293,,,
551,250780,TIGER 코스닥150선물인버스,K Market,-1X,2400.0,126437,305000000.0,-2.64,-1.03,0.0,3.45,12.68,-28.36,-35.66
552,465660,TIGER 일본반도체FACTSET,K Market,1X,24265.0,12677,304000000.0,,,,-25.2489,,,
553,479730,TIGER 인도빌리언컨슈머,K Market,1X,9575.0,31968,303000000.0,,,,-9.7931,,,
554,0189B0,TIGER 은액티브,K Market,1X,8080.0,36974,301000000.0,,,,-5.7359,,,
555,0192M0,RISE 삼성전자단일종목레버리지,K Market,2X,12980.0,23481,301000000.0,25.23,11.08,20.02,-44.34,,,
556,298340,PLUS 국채선물3년,K Market,1X,56345.0,5283,298000000.0,,,,0.6147,,,
557,0178H0,IBK 미국AI TOP10국채혼합50,K Market,1X,10225.0,29187,298000000.0,,,,2.374,,,
558,0220A0,KIWOOM 현대차그룹TOP3채권혼합50,K Market,1X,8870.0,33898,298000000.0,,,,,,,
559,495550,SOL 코리아밸류업TR,K Market,1X,33405.0,8905,298000000.0,,,,-14.7856,,,
560,395290,HANARO Fn K-POP&미디어,K Market,1X,4825.0,60863,295000000.0,,,,-8.144,,,
561,0067V0,TIGER 차이나글로벌리더스TOP3+,K Market,1X,9320.0,31472,292000000.0,,,,-15.5505,,,
562,277640,TIGER 코스피대형주,K Market,1X,38560.0,7529,291000000.0,,,,-15.4552,,,
563,0198B0,1Q 삼성전자선물단일종목레버리지,K Market,2X,13250.0,22134,290000000.0,27.4,10.6,20.67,-45.25,,,
564,0166S0,PLUS K제조업핵심기업액티브,K Market,1X,11635.0,24472,287000000.0,,,,-14.8929,,,
565,375270,RISE 글로벌데이터센터리츠(합성),K Market,1X,13650.0,20479,281000000.0,,,,-17.4903,,,
566,365040,TIGER AI코리아그로스액티브,K Market,1X,37190.0,7565,281000000.0,,,,-12.7633,,,
